region;city;cat;comerc;object
Свердловская область;Екатеринбург;Культурный отдых;да;Уральский государственный театр эстрады
Свердловская область;Екатеринбург;Культурный отдых;да;Молодёжный театр-студия Галерка
Свердловская область;Екатеринбург;Культурный отдых;да;Театр балета Щелкунчик
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Тургенев
Свердловская область;Нижний Тагил;Культурный отдых;да;Нижнетагильская филармония
Свердловская область;Екатеринбург;Культурный отдых;да;Живой театр
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Провинциальные танцы
Свердловская область;Екатеринбург;Архитектура;да;Смотровая площадка БЦ Высоцкий 
Свердловская область;Екатеринбург;Семейный отдых;да;Океанариум
Свердловская область;Екатеринбург;Семейный отдых;да;Екатеринбургский зоопарк
Свердловская область;Екатеринбург;Семейный отдых;да;ФэнтазиГрад
Свердловская область;Екатеринбург;Музей;да;Антимузей комьютеров и компьютерных игр
Свердловская область;Екатеринбург;Семейный отдых;да;Творческая студия Воздух
Свердловская область;Екатеринбург;Развлечение;да;Квеструм Авантюра
Свердловская область;Екатеринбург;Музеи;да;Дом Метенкова
Свердловская область;Екатеринбург;Музеи;да;Центр искусств Главный проспект
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургская галерея современного искусства
Свердловская область;Екатеринбург;Музеи;да;Центр фотографии Март
Свердловская область;Екатеринбург;Музеи;да;Галерея декоративно-прикладного искусства Арт-Птица
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей Высоцкого
Свердловская область;Екатеринбург;Музеи;да;Музей истории каменрезного и ювелирного искусства
Свердловская область;Нижний Тагил;Музеи;да;Музей Уралвагонзавода
Свердловская область;Екатеринбург;Музеи;да;Уральский государственный геологический музей
Свердловская область;Екатеринбург;Музеи;да;Музей Бажова
Свердловская область;Екатеринбург;Музеи;да;Музей радио им. Попова
Свердловская область;Екатеринбург;Музеи;да;Музей Невьянская икона
Свердловская область;Ирбит;Музеи;да;Ирбитский музей мотоциклов
Свердловская область;Нижний Тагил;Музеи;да;Историко-краеведческий музей
Свердловская область;Екатеринбург;Музеи;да;Свердловский областной краеведческий музей
Свердловская область;Екатеринбург;Музеи;да;Музей природы
Свердловская область;Ивдель;Музеи;да;Ивдельский историко-этнографический музей им Уварова
Свердловская область;Екатеринбург;Музеи;да;Музей горной техники
Свердловская область;Алапаевск;Музеи;да;Дом-музей Чайковского
Свердловская область;Екатеринбург;Музеи;да;Музей архетиктуры и дизайна
Свердловская область;Нижний Тагил;Музеи;да;Музей Демидовская дача
Свердловская область;Нижний Тагил;Музеи;да;Историко-технический музей Дом Черепановых
Свердловская область;Нижняя Синячиха;Музеи;да;Нижнесинячихинский музей-заповедник деревянного зодчества и народного искусства им Самойлова
Свердловская область;Нижний Тагил;Музеи;да;Музей-завод истории развития техники черной металлургии
Свердловская область;Березовский;Музеи;да;Березовский музей золота
Свердловская область;Екатеринбург;Музеи;да;Музей святой царской семьи
Свердловская область;Екатеринбург;Семейный отдых;да;Newton park
Свердловская область;Верхотурье;Музеи;да;Верхотурский государственный историко-архитектурный музей-заповедник
Свердловская область;Полевской;Музеи;да;Музейный комплекс Северская домна
